W,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC. REQUIRE,,,,,,,,,,,
"MASTER
ITEM#",,MEAT,SEAFOOD,PRODUCE,GROCERY,BAKERY,HOT DELI,WAREHOUSE,GENERAL MARKET,SUBTENANTS,"MEAT
ITEM #","SEAFOOD
ITEM #","PRODUCE
ITEM #","GROCERY
ITEM #","BAKERY
ITEM #","HOT DELI
ITEM #","WAREHOUSE
ITEM #","GENERAL MARKET
ITEM #","SUBTENANTS
ITEM #",EQUIPMENT DESCRIPTION,SPEC. LINK,MANUFACTURER,MODEL,SUPPLY BY,INSTALL BY,ELECTRICAL,,,DATA/PHONE,PLUMBING - WATER,,,PLUMBING - GAS,,,FLOOR SINK,REMARKS
,,,,,,,,,,,,,,,,,,,,,,,,,,POWER,HEIGHT,NEMA,,COLD,HOT,ELEVATION,PIPE SIZE,BTU,ELEVATION,,
49,A,,,,x,,,,,,,,,GR#06,,,,,,REFRIG. DELI/ DAIRY CS - CLOSED,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
49,B,,,,,,,,,,,,,,,,,,,REFRIG. DELI/ DAIRY CS – CLOSED - NARROW,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,,,,,,,,,,,,
50,,x,x,,,,,,,,MT#02,SF#03,,,,,,,,REFRIG. MEAT-SEAFOOD MULTI-DECK,,HILL PHOENIX,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
51,A,,,,,,x,,,,,,,,,HD#06,,,,REFRIG. COLD DELI CS,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
51,B,,,,,,,,,,TBD,,,,,,,,,REFRIG. COLD DELI CS - 3DECK,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
52,,,,,,,,,,,TBD,,,,,,,,,REFRIG. MEAT - 3DECK,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
53,,,,,,,,,,,TBD,,,,,,,,,REFRIG.SELF SERVE CASE - 3DECK,,HILL PHOENIX,02.5 UM,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,,
54,A,,,,,,,,,,TBD,,,,,,,,,REACH IN FROZEN CS,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
54,B,,,,x,,,,,,,,,GR#07,,,,,,REACH IN FROZEN NARROW CS,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
55,,,x,,,,,,,,,SF#04,,,,,,,,REFRIG. SUSHI CASE - 3DECK,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
56,A,x,x,,x,,,,,,MT#03,SF#05,,GR#08,,,,,,SELF-CONTAINED FROZEN COFFIN CASES,,AHT,PARIS 185 & 210,AHT,E.C.,"110-120/60
(120V-20A PER 2 CASES)",,L5-15,,,,,,,,,
56,B,x,x,,x,,,,,,MT#04,SF#06,,GR#09,,,,,,SELF-CONTAINED FROZEN COFFIN CASES,,NOVUM,,OWNER,G.C.,,,,,,,,,,,,
56,C,x,x,,x,,,,,,MT#05,SF#07,,GR#10,,,,,,SELF-CONTAINED FROZEN COFFIN CASES,,EXCELLENCE,HR-18H & HR-21H,OWNER,G.C.,"115/60/1
(120V-20A PER 2 CASES)",,,,,,,,,,,
57,,,,,,x,,,,,,,,,BK#11,,,,,REFRIG. SELF SERVICE BAKERY,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
58,,,x,,,,,,,,,SF#08,,,,,,,,REFRIG. SERVICE SEAFOOD CS,,HILL PHOENIX,SSAM-RG,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
59,,x,,,,,,,,,MT#06,,,,,,,,,REFRIG. SERVICE MEAT,,HILL PHOENIX,SGM,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
60,,,,,,x,,,,,,,,,BK#12,,,,,REFRIG. SERVICE BAKERY,,HILL PHOENIX,BLF,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
61,,,,,,,,,,,TBD,,,,,,,,,REFRIG. SINGLE DECK MEAT,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
62,,,,,,,,,,,TBD,,,,,,,,,REFRIG. SELF SERVICE JUICE,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
63,,,,,,,,,,,TBD,,,,,,,,,REFRIG MARINATED MEAT,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
64,,,,,,,,,,,TBD,,,,,,,,,REFRIG. SELF SERVICE CAKE,,TURBO AIR,TOM-75LBSF,OWNER,R.C. / E.C.,120-20A,VERIFY,VERIFY,,,,,,,,YES,
65,,,,,,,,,,,TBD,,,,,,,,,REFRIG. SELF SERVICE CAKE,,TURBO AIR,TOM-40LBSF,OWNER,R.C. / E.C.,120-20A,VERIFY,VERIFY,,,,,,,,YES,
66,,,,,,,,x,,,,,,,,,WH#10,,,REFRIGERATION COMPRESSOR SYSTEM,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
67,,,,,,,,x,,,,,,,,,WH#11,,,REFRIG. CONDENSER,,SEE R. DWGS,SEE R. DWGS,OWNER,R.C. / E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
68,,x,x,x,x,x,x,,,,MT#07,SF#09,PD#05,GR#11,BK#13,HD#07,,,,WALK-IN COOLER,O,HILL PHOENIX,CUSTOM,OWNER,R.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
69,,x,x,,x,x,x,,,,MT#08,SF#10,,GR#12,BK#14,HD#08,,,,WALK-IN FREEZER,O,HILL PHOENIX,CUSTOM,OWNER,R.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,YES,
70,A,,,,,x,,,,,,,,,BK#15,,,,,2-DOOR UNDER COUNTER REFRIGERATOR,,BEVERAGE AIR,UCR-34,OWNER,E.C.,120-20A,24” OC,5-15R,,,,,,,,,
71,,,,,,,,,,,TBD,,,,,,,,,2-DOOR REACH IN REFRIGERATOR,,TRAULSEN,G SERIES,OWNER,E.C.,120-20A,80” OC,5-15R,,,,,,,,,
72,,,,,,,,,,,TBD,,,,,,,,,3-DOOR REACH IN REFRIGERATOR,,TRAULSEN,G SERIES,OWNER,E.C.,120-20A,80” OC,L14-20P,,,,,,,,,
73,,,,,,,,,,,TBD,,,,,,,,,2-DOOR REACH IN FREEZER,,TRAULSEN,G SERIES,OWNER,E.C.,208-20A-1P,80” OC,5-20R,,,,,,,,,
74,,,,,,,,,,,TBD,,,,,,,,,3-DOOR REACH IN FREEZER,,TRAULSEN,G SERIES,OWNER,E.C.,208-20-1P,80” OC,L14-20P,,,,,,,,,
75,,,,,,x,x,,,,,,,,BK#16,HD#09,,,,60” WORKTOP REFRIG COLD TABLE,,TRUE,TUC-60,OWNER,E.C.,120-20A,"48"" AFF",5-15R,,,,,,,,,
76,A,,,,,,x,,,,,,,,,HD#10,,,,PREP TOP REFRIG. COLD TABLE,,TRUE,TSSU-60-16-HC,OWNER,E.C.,120-20A,"48"" AFF",5-15R,,,,,,,,,
76,B,,,,,,,,,,TBD,,,,,,,,,60” PIZZA PREP COLD TABLE,,TRUE,TPP-67,OWNER,E.C.,120-20A,"48"" AFF",5-15R,,,,,,,,,
77,,,,,,,,x,,,,,,,,,WH#12,,,BREAK ROOM REFRIGERATOR,,FRIGIDAIRE,FFTR1814Q,OWNER,OWNER,120-20A,"48"" AFF",5-15R,,,,,,,,,
78,,,x,,,,,,,,,SF#11,,,,,,,,STORAGE ICE BIN DOUBLE DOOR UPRIGHT,,KLOPPENBERG,2115,OWNER,G.C.,,,,,,,,,,,YES,
79,,,x,,,,,,,,,SF#12,,,,,,,,ICE CUBER – 1000LBS W/ FILTER,,ICE-O-MATIC,CIM1136A,OWNER,P.C.& E.C.,208-20A-1P,"80"" OC",L6-20,,CW-3/8”,,"56"" + 6.5"" A.F.F.",,,,YES,
80,,,x,,,,,,,,,SF#13,,,,,,,,ICE FLAKER – 1000LBS W/ FILTER,,ICE-O-MATIC,MFI1256A,OWNER,P.C.& E.C.,208-20A-1P,"80"" OC",L6-20,,CW-3/8”,,"56"" + 5.25"" A.F.F.",,,,YES,
81,,,,,,x,,,,,,,,,BK#17,,,,,ICE CUBER SELF CONTAINED – 300LBS W/ FILTER,,ICE-O-MATIC,ICEU-300,OWNER,P.C.& E.C.,120-20A,24” OC,5-15R,,CW-1/2”,,24” OC,,,,YES,
82,,,x,,,,,,,,,SF#14,,,,,,,,STORAGE ICE BIN SLOPED FRONT 850LBS,,ICE-O-MATIC,B110PS,OWNER,G.C.,,,,,,,,,,,YES,
83,A,x,x,x,,x,x,,,,MT#09A,SF#15A,PD#06A,,BK#18A,HD#11A,,,,WALL MOUNT HAND SINK,,ADVANCE TABCO,7-PS-66,OWNER,P.C,,,,,CW-1/2”,HW-1/2”,18” OC,,,,,
83,B,,,,,,,,,,MT#09B,SF#15B,PD#06B,,BK#18B,HD#11B,,,,WALL MOUNT HAND SINK W/ PAPER TOWEL AND SOAP DISPENSER,O,ADVANCE TABCO,7-PS-87,OWNER,P.C.,,,,,CW-1/2”,HW-1/2”,18” OC,,,,,
84,,,,,,,,,x,,,,,,,,,GM#10,,CUSTOMER RESTROOM TROUGH SINK,,SLOAN,ELRF-82000,P.C.,P.C.,,,,,,,,,,,,
85,,,,,,,,,,,TBD,,,,,,,,,CUSTOMER RESTROOM UNDERMOUNT HAND SINK,,KOHLER,K-2602,P.C.,P.C,,,,,CW-1/2”,HW-1/2”,"48"" AFF",,,,,
86,,,,,,,,,x,,,,,,,,,GM#11,,CUSTOMER RESTROOM TROUGH SINK FAUCET,,SLOAN,EAF-100,P.C.,P.C.,,,,,CW-1/2”,HW-1/2”,18” OC,,,,,
87,A,,,,,,,,,,,,,,,,,,,1COMP-SINK W/ 1 DRAIN BOARD (RIGHT) – SMALL,,AREO,MF1-2418-18R,OWNER,P.C,,,,,,,,,,,YES,
87,B,,x,,,x,,,,,,SF#16,,,BK#19,,,,,1COMP-SINK W/ 1 DRAIN BOARD (LEFT) – SMALL,,AREO,MF1-2418-18L,OWNER,P.C,,,,,,,,,,,YES,
88,,x,x,,,,x,,,,MT#10,SF#17,,,,HD#12,,,,2COMP SINK /W 2 DRAIN BOARD – LARGE,,AREO,MF2-2424-24LR,OWNER,P.C,,,,,,,,,,,YES,
89,,,,x,,,x,,,,,,PD#07,,,HD#13,,,,2COMP SINK /W 2 DRAIN BOARD – SMALL,O,AREO,MF2-2418-18LR,OWNER,P.C,,,,,,,,,,,YES,
90,,x,,x,,x,x,,,,MT#11,,PD#08,,BK#20,HD#14A,,,,3COMP SINK /W 2 DRAIN BOARD - LARGE,,AREO,MF3-2424-24LR,OWNER,P.C,,,,,,,,,,,YES,
91,,,x,,,,,,,,,SF#18,,,,HD#14B,,,,3COMP SINK /W 2 DRAIN BOARD - SMALL,O,AREO,MF3-2418-18LR,OWNER,P.C,,,,,,,,,,,YES,
92,A,,,,,,,x,,,,,,,,,WH#13,,,MOP SINK,,ADVANCE TABCO,9-OP-28,P.C.,P.C,,,,,,,,,,,,
92,B,,,,,,,,,,,,,,,HD#55,,,,MOP SINK,O,STEELTON," 24""X24""X12""",OWNER,P.C.,,,,,,,,,,,,
93,,,,,,,,x,,,,,,,,,WH#14,,,MOP SINK FAUCET,,FISHER,8261,P.C.,P.C,,,,,SEE P. DWGS,SEE P. DWGS,SEE P. DWGS,,,,,
94,,,,,,,x,,,,,,,,,HD#15,,,,WOK RANGE FAUCET,,FISHER,60224,OWNER,P.C,,,,,CW-1/2”,,"12""H",,,,,
95,,,,,,,,,,,,,,,,,,,,RESTROOM HAND SINK FAUCET,,MOEN,M-BITTON,P.C.,P.C,,,,,,,,,,,,
96,,,,,,x,,,,,,,,,BK#21,,,,,KITCHEN FAUCET,,FISHER,60143,OWNER,P.C,,,,,"CW 3/4""","CW 3/4""",,3/4”,,,,
97,,,,,,x,,,,,,,,,BK#22,,,,,WATER HEATER,,SEE P. DWGS,SEE P. DWGS,P.C.,P.C,120-20A,24” OC,5-15R,,CW 1 1/2”,CW 1 1/2”,SEE WH SPEC,"3/4""",199.00,"16"" OC",,SEE P. DWGS
98,A,,,,,,,,x,,,,,,,,,GM#12,,DRINKING FOUNTAIN - NO BOTTLE FILLER,,HALSEY-TAYLOR,CONTOUR BI LEV,P.C.,P.C,,,,,"CW 3/8"" O.D.",,,,,,,
98,B,,,,,,,,x,,,,,,,,,GM#13,,DRINKING FOUNTAIN - W/ BOTTLE FILLER,,ELKAY,LZSTL8WSLP,P.C.,P.C,115V/60,,,,"CW 3/8"" O.D.",,,,,,,
99,,,,,,x,,,,,,,,,BK#23,,,,,DROP IN DUMP SINK,,KROWNE,HS-1419,OWNER,G.C.,,,,,,,,,,,YES,
100,,,,,,,,,x,,,,,,,,,GM#14,,RESTROOM HAND DRYER W/ RECESS KIT,,XLERATOR,XL-SB,G.C.,P.C.& E.C.,120-20A,ADA CODE,DIRECT CONNECT,,,,,,,,,
